version,nb_nfiles,nb_blank,nb_comment,nb_code,date
1.4,1522,30677,86915,190739,2009-01-06
1.5.0,1910,37080,102090,226720,2009-02-18
1.6.1,2122,40462,124203,249289,2009-11-05
2.0.0,2442,44423,126329,278339,2010-06-05
3.0.0,3096,55890,144107,348907,2012-02-07
3.1.0,3049,56146,146206,355170,2012-06-22
3.2.0,3224,61439,195010,374607,2012-12-17
3.3.0,4071,84833,242286,514197,2013-06-20
3.4.0,3716,74219,230815,454270,2013-10-24
v4.0.0,4044,81339,238674,505291,2014-05-30
v4.1.0,4078,82945,235580,513437,2015-01-28
v4.2.0,3753,75398,222721,465325,2015-10-22
v4.3.0,3562,74115,217910,469033,2016-08-09
v4.4.0,3420,72159,207005,459961,2017-03-07
